"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009141","nucleoside triphosphate metabolic process",155,0.551046145088518,1.65106668283705,1.02889828945981e-05,0.00348763967114225,0.003431751152375,1236,"tags=49%, list=29%, signal=36%","19384/230075/11474/319801/70316/67184/13808/66218/68197/18747/12183/68375/18103/75686/20533/69875/67130/12495/66916/79059/79459/11674/68194/56012/94044/102631912/66414/57423/51797/68055/18642/18648/27369/54403/66046/226646/67680/68342/21991/74370/18293/56428/74006/11947/72900/225887/11949/66091/18655/23959/78830/76055/27425/66495/68202/28080/11958/595136/11946/66052/14904/18639/407785/11950/56632/75406/229949/67273/11957/66945/17993/20848/16434/18640/15277/66108"
"GO:0019693","ribose phosphate metabolic process",190,0.529913607496406,1.60163041101646,1.1766003951e-05,0.00348763967114225,0.003431751152375,1092,"tags=40%, list=26%, signal=31%","19384/230075/11474/319801/70316/67184/229665/11565/13808/23971/66218/68197/18747/12183/68375/18103/20533/69875/67130/12495/212627/66916/79059/79459/11674/68194/56012/94044/102631912/56749/66414/57423/71207/51797/68055/18642/18648/11821/74167/54403/66046/226646/67680/54195/68342/21991/74370/18293/56428/74006/11947/72900/225887/11949/13836/66091/18655/23959/78830/27425/66495/68202/11564/28080/11958/595136/11946/66052/14904/18639/407785/11950/60596/56632/75406/229949"
"GO:0003009","skeletal muscle contraction",12,0.882145756912619,1.84082064865273,1.35848726661406e-05,0.00359017163817787,0.00353264007130237,23,"tags=33%, list=1%, signal=33%","12372/11937/21925/11474"
"GO:0072521","purine-containing compound metabolic process",298,0.486427624227075,1.49000441241157,1.41305602852095e-05,0.00359017163817787,0.00353264007130237,1160,"tags=39%, list=28%, signal=30%","19384/224794/230075/11474/319801/70316/67184/229665/11565/13808/23971/66218/68197/171210/18747/29807/12183/68375/110959/18103/75686/20533/69875/67130/12495/212627/66646/73724/66916/79059/79459/11674/70456/68194/56012/94044/71147/102631912/223646/67420/66414/14431/57423/71207/60525/56451/68055/18642/18648/11821/56318/27369/74167/54403/66046/226646/107227/17448/67680/14571/54195/68342/21991/74370/18293/56428/16828/17449/14732/74006/11947/72900/78920/225887/269951/66198/11949/15360/13836/66091/228026/70025/18655/23959/21881/78830/76055/27425/66495/14198/68202/11564/28080/11958/595136/11946/18104/66052/14904/18639/407785/11950/26357/60596/56632/75406/229949/67273/100198/20916/13382/14719/15356/11957/66945"
"GO:0009259","ribonucleotide metabolic process",186,0.530315719500589,1.60231267955641,1.54039712649691e-05,0.00365279505263301,0.00359425996182613,1092,"tags=40%, list=26%, signal=31%","19384/230075/11474/319801/70316/67184/229665/11565/13808/23971/66218/68197/18747/12183/68375/18103/20533/69875/67130/12495/66916/79059/79459/11674/68194/56012/94044/102631912/56749/66414/57423/71207/51797/68055/18642/18648/11821/74167/54403/66046/226646/67680/54195/68342/21991/74370/18293/56428/74006/11947/72900/225887/11949/13836/66091/18655/23959/78830/27425/66495/68202/11564/28080/11958/595136/11946/66052/14904/18639/407785/11950/60596/56632/75406/229949"
"GO:0009199","ribonucleoside triphosphate metabolic process",145,0.550122759473327,1.63995603777126,2.35800189387051e-05,0.00524213296031087,0.00515812914284174,1236,"tags=50%, list=29%, signal=37%","19384/230075/11474/319801/70316/67184/13808/66218/68197/18747/12183/68375/18103/20533/69875/67130/12495/66916/79059/79459/11674/68194/56012/94044/102631912/66414/57423/51797/68055/18642/18648/54403/66046/226646/67680/68342/21991/74370/18293/56428/74006/11947/72900/225887/11949/66091/18655/23959/78830/27425/66495/68202/28080/11958/595136/11946/66052/14904/18639/407785/11950/56632/75406/229949/67273/11957/66945/17993/20848/16434/18640/15277/66108"
"GO:0009201","ribonucleoside triphosphate biosynthetic process",73,0.607335468818013,1.7162246180732,2.96886353279187e-05,0.0060507565126838,0.00595379471307093,1190,"tags=63%, list=28%, signal=46%","230075/70316/67184/66218/68197/68375/18103/69875/67130/12495/66916/79059/11674/68194/102631912/66414/57423/51797/68055/66046/226646/67680/68342/11947/72900/225887/11949/66091/78830/27425/66495/68202/28080/11958/595136/11946/66052/407785/11950/56632/75406/67273/11957/66945/17993/20848"
"GO:0055086","nucleobase-containing small molecule metabolic process",346,0.468006899805856,1.44394629244187,3.06195156672219e-05,0.0060507565126838,0.00595379471307093,1160,"tags=36%, list=28%, signal=29%","19384/224794/230075/11474/319801/70316/67184/229665/11565/13808/23971/66218/68197/171210/18747/29807/12183/68375/110959/18103/75686/20533/69875/67130/12495/212627/66646/73724/66916/79059/14583/79459/11674/70456/68194/56012/94044/71147/102631912/223646/67420/56749/66414/14431/319945/57423/71207/60525/51797/56451/68055/18642/18648/11821/56318/27369/74167/54403/66046/107652/226646/107227/17448/67680/14571/54195/216558/68342/21991/74370/18293/56428/50798/16828/17449/14732/74006/11947/72900/78920/225887/269951/66198/11949/15360/13478/13836/66091/228026/70025/18655/23959/21881/245847/78830/76055/27425/66495/14198/246703/68202/11564/28080/11958/595136/11946/18104/66052/14904/18639/407785/11950/60596/67311/56632/75406/229949/67273/100198/20916/13382/14719/15356/11957/12799/66945"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",69,0.624906645381898,1.75405927329535,3.48442773376924e-05,0.00652321549948274,0.00641868266746966,1190,"tags=65%, list=28%, signal=48%","230075/70316/67184/66218/68197/68375/18103/69875/67130/12495/66916/79059/11674/68194/102631912/66414/57423/68055/66046/226646/67680/68342/11947/72900/225887/11949/66091/78830/27425/66495/68202/28080/11958/595136/11946/66052/407785/11950/56632/75406/67273/11957/66945/17993/20848"
"GO:0006164","purine nucleotide biosynthetic process",105,0.579900009681894,1.69610533800389,4.31043303209844e-05,0.00714916250908843,0.00703459903902431,1190,"tags=53%, list=28%, signal=39%","230075/70316/67184/229665/11565/23971/66218/68197/68375/18103/69875/67130/12495/212627/66916/79059/11674/68194/102631912/223646/66414/57423/68055/11821/27369/66046/226646/67680/54195/68342/11947/72900/225887/269951/11949/66091/78830/27425/66495/68202/11564/28080/11958/595136/11946/66052/407785/11950/60596/56632/75406/67273/11957/66945/17993/20848"
