Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
Q8K268,ABCF3_MOUSE,ATP-binding cassette sub-family F member 3 OS=Mus musculus OX=10090 ,Abcf3,858054,1890660,1381660,3323110,1807470,1526890,2010180,2295980,1552790,2008970,9733250,1470240,1763230,3025010,2252020,1627350,2106820,4594170
Q7TMS5,ABCG2_MOUSE,Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Mus musculus OX=10090 ,Abcg2,8122150,24241500,17412000,24572000,24313000,24367700,25947400,25148700,27339100,6964080,27626800,26479700,32007600,23258300,22133400,25897200,19431100,30856900
Q6PE15,ABHDA_MOUSE,"Palmitoyl-protein thioesterase ABHD10, mitochondrial OS=Mus musculus OX=10090 ",Abhd10,1327270,1655820,2407620,2473340,2647130,3000380,2338640,2218230,2923480,1817110,2207470,2259070,1967150,2596540,2209050,2872710,2642970,2374430
Q99LR1,ABD12_MOUSE,Lysophosphatidylserine lipase ABHD12 OS=Mus musculus OX=10090 ,Abhd12,5725980,4287890,5387650,5510160,6029220,5226460,6166130,4948680,5108300,5458980,5549730,6264960,6479350,4930770,5005360,4426660,5525380,5576850
Q8VCR7,ABHEB_MOUSE,Putative protein-lysine deacylase ABHD14B OS=Mus musculus OX=10090 ,Abhd14b,21797100,15608700,32071800,17908400,15357400,17671100,16120200,15472700,14373000,20912100,12582900,14555500,14738300,15959000,17011000,16586000,17768900,16069500
Q9Z1Q2,ABHGA_MOUSE,Phosphatidylserine lipase ABHD16A OS=Mus musculus OX=10090 ,Abhd16a,,1940870,,939719,1331280,1915610,1577230,1866030,1852800,2218180,1365850,2050160,1372040,1080710,1868110,748021,1008750,1970300
Q8VD66,ABHD4_MOUSE,(Lyso)-N-acylphosphatidylethanolamine lipase OS=Mus musculus OX=10090 ,Abhd4,3571740,1853910,1867300,2658140,2744210,2594270,,1984910,2545110,2150010,2294440,3088050,1803690,2220570,2677440,2516900,2917730,2372470
Q9DBL9,ABHD5_MOUSE,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Mus musculus OX=10090 ,Abhd5,,3620680,,6739070,4234510,4287730,3426320,4332040,3767090,,2432800,4150270,4155420,5020260,5869090,501388,4014220,3044900
Q8R2Y0,ABHD6_MOUSE,Monoacylglycerol lipase ABHD6 OS=Mus musculus OX=10090 ,Abhd6,,325128,,453783,,,,588027,264892,,,,471967,,406467,,,
Q8CBW3,ABI1_MOUSE,Abl interactor 1 OS=Mus musculus OX=10090 ,Abi1,9539410,14554900,6351740,13350800,10509200,13064500,11294500,12495600,13479700,9677000,15001600,11888800,11173100,12612300,12885100,15430200,15021900,12069700
