Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
Q99MK8,ARBK1_MOUSE,Beta-adrenergic receptor kinase 1 OS=Mus musculus OX=10090 ,Grk2,,2364380,2346550,2284070,3995340,2911260,2378680,3075300,1794380,2466970,2547540,2821250,2744730,1897540,2890350,2626810,2606120,2640490
P28798,GRN_MOUSE,Progranulin OS=Mus musculus OX=10090 ,Grn,,1000450,,669651,,,832272,1590850,2049140,,1153880,1322820,556138,861537,1222350,1419690,541633,549709
Q99LP6,GRPE1_MOUSE,"GrpE protein homolog 1, mitochondrial OS=Mus musculus OX=10090 ",Grpel1,,5021470,1951760,5098550,4991560,5310960,7037610,7484830,4991180,,5126400,4727590,5624470,6865550,4848190,6351650,4298350,4572000
Q8C5Q4,GRSF1_MOUSE,G-rich sequence factor 1 OS=Mus musculus OX=10090 ,Grsf1,1267070,1600310,,1717310,1119160,,1731240,2112090,1358230,,1451930,2069340,1315840,1653530,1008230,1803070,1474860,1664440
Q9Z2D3,GSDME_MOUSE,Gasdermin-E OS=Mus musculus OX=10090 ,Gsdme,1283990,432611,,,1114010,1012560,905340,1371850,1257450,1330010,1660940,1074290,1219120,1063740,1067570,1842920,,1167490
Q2NL51,GSK3A_MOUSE,Glycogen synthase kinase-3 alpha OS=Mus musculus OX=10090 ,Gsk3a,1058750,2625170,647158,2145660,2056680,2610940,1543950,1871530,2841280,1331240,2275710,1997660,1712440,1300170,2271300,1623190,1886210,2944780
Q9WV60,GSK3B_MOUSE,Glycogen synthase kinase-3 beta OS=Mus musculus OX=10090 ,Gsk3b,17230100,17073500,11924500,13764900,17984400,18372500,16210700,17892000,16194700,14497700,17282700,16412200,16325800,14371700,15623400,16026900,16557400,16835200
Q8BGR8,GSKIP_MOUSE,GSK3B-interacting protein OS=Mus musculus OX=10090 ,Gskip,,1503030,1764370,,1181000,,1238100,967509,2395980,2056040,1849790,1408950,1044050,1256420,1696100,2412720,1697080,1849950
P13020,GELS_MOUSE,Gelsolin OS=Mus musculus OX=10090 ,Gsn,204615000,195277000,238718000,206373000,147022000,199358000,168278000,221762000,213028000,209769000,187890000,193048000,206112000,214046000,226370000,198488000,245587000,214824000
Q8R050,ERF3A_MOUSE,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Mus musculus OX=10090 ,Gspt1,14281600,4765430,11324400,5704700,10011500,8162180,12094800,6746500,7354350,9862080,8360010,9601950,9586700,11816400,7689350,5260290,7014790,8550150
Q149F3,ERF3B_MOUSE,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Mus musculus OX=10090 ,Gspt2,,,,2072820,,2167540,,3063950,,,2849960,,,,,,,1932870
P47791,GSHR_MOUSE,"Glutathione reductase, mitochondrial OS=Mus musculus OX=10090 ",Gsr,14592800,15407600,14989400,16309000,15298600,16644000,16513400,15231400,16075400,16380500,14960100,14180500,13758400,15127800,15736900,16368700,15022200,16737800
P51855,GSHB_MOUSE,Glutathione synthetase OS=Mus musculus OX=10090 ,Gss,5516000,5041950,5519130,7652480,5821280,6768690,7531910,6547270,5533690,5294450,4868300,4903360,5061110,6263920,5523920,6937250,7087280,6585800
P30115,GSTA3_MOUSE,Glutathione S-transferase A3 OS=Mus musculus OX=10090 ,Gsta3,1903400,2978110,2366660,3327420,2712070,2179340,2715490,2914730,8050130,4918610,1247590,2100040,2863700,3573520,3115940,5585650,2187130,3696350
P24472,GSTA4_MOUSE,Glutathione S-transferase A4 OS=Mus musculus OX=10090 ,Gsta4,11624600,18284000,11734600,25294800,22510700,23599500,23456600,21185100,30075400,12266300,20759700,23865800,24414900,26994000,26564100,25718900,22457600,25929500
Q9DCM2,GSTK1_MOUSE,Glutathione S-transferase kappa 1 OS=Mus musculus OX=10090 ,Gstk1,,2332570,,768177,2161230,1625040,2967360,1858900,1874470,,2245440,2234920,4421560,2949680,3329600,,,2935450
P10649,GSTM1_MOUSE,Glutathione S-transferase Mu 1 OS=Mus musculus OX=10090 ,Gstm1,52437600,44655100,50033100,37726900,42005800,33015000,47318100,41496500,47061800,45290400,24516400,46997000,34570500,50789700,44089000,41499100,24244000,31007700
P15626,GSTM2_MOUSE,Glutathione S-transferase Mu 2 OS=Mus musculus OX=10090 ,Gstm2,13086800,36906100,35892900,48033500,52489000,49492000,46825200,47263200,55879000,14320200,37710600,53245300,53084100,58167500,44556000,42487900,46290700,33939700
P19639,GSTM3_MOUSE,Glutathione S-transferase Mu 3 OS=Mus musculus OX=10090 ,Gstm3,,,,,6888160,,32751000,,,,,,65288100,,,,,23992200
Q8R5I6,GSTM4_MOUSE,Glutathione S-transferase Mu 4 OS=Mus musculus OX=10090 ,Gstm4,,1179820,,1309210,,815979,880211,1163530,1113960,,1159270,1003520,1063170,1110060,983746,569718,949684,1149150
P48774,GSTM5_MOUSE,Glutathione S-transferase Mu 5 OS=Mus musculus OX=10090 ,Gstm5,15628000,16952700,16357200,16170700,14517300,14320800,14141000,15745700,18963800,14616700,12803400,17289200,15371300,14706900,14715100,14488700,14567400,18677100
O35660,GSTM6_MOUSE,Glutathione S-transferase Mu 6 OS=Mus musculus OX=10090 ,Gstm6,,9402340,,4066640,6413480,13342900,12898200,3885940,,,10163900,4681540,3371410,14755500,788460,,9411870,9907450
Q80W21,GSTM7_MOUSE,Glutathione S-transferase Mu 7 OS=Mus musculus OX=10090 ,Gstm7,1723720,,2248260,1542670,626791,,1083470,1304280,1174990,1429790,2462240,1218990,390426,1663780,,1779180,1137250,381089
O09131,GSTO1_MOUSE,Glutathione S-transferase omega-1 OS=Mus musculus OX=10090 ,Gsto1,12310600,14366000,14280300,14886100,13046900,15673000,13444200,17832100,11732400,15144900,11828000,11515600,14244000,11495500,15046800,13624000,13125200,12309700
P19157,GSTP1_MOUSE,Glutathione S-transferase P 1 OS=Mus musculus OX=10090 ,Gstp1,64928700,105524000,50071900,100682000,97438500,90301400,96154700,111044000,77342100,65088800,76419100,92807500,80708900,90690500,105972000,102964000,99035200,96388900
Q64471,GSTT1_MOUSE,Glutathione S-transferase theta-1 OS=Mus musculus OX=10090 ,Gstt1,1737940,2217550,,2961220,2310900,,1993230,,2344620,1295500,,2047950,2116580,3003400,2257460,2148780,,1864460
Q61133,GSTT2_MOUSE,Glutathione S-transferase theta-2 OS=Mus musculus OX=10090 ,Gstt2,,,,,,,,,1808430,,,524668,,1973660,,1080680,,
Q99L20,GSTT3_MOUSE,Glutathione S-transferase theta-3 OS=Mus musculus OX=10090 ,Gstt3,,,,6756510,7726080,4488180,,4510970,,,5272950,7944100,6077750,8647390,5629000,,8920160,5768280
Q9WVL0,MAAI_MOUSE,Maleylacetoacetate isomerase OS=Mus musculus OX=10090 ,Gstz1,16965000,14796000,17187300,16420200,14895700,13601700,18191600,17172200,29252500,18641000,8374260,10403300,13287900,15909500,16632700,17803900,10998000,12361900
Q3THK3,T2FA_MOUSE,General transcription factor IIF subunit 1 OS=Mus musculus OX=10090 ,Gtf2f1,321021,237471,,,,,,,,,,,,,,,,
Q9ESZ8,GTF2I_MOUSE,General transcription factor II-I OS=Mus musculus OX=10090 ,Gtf2i,1852720,2320730,1730990,1331010,1572390,2032630,2008330,1551040,1343520,1705470,1743120,1698840,1750950,2114900,1779280,1457700,3101490,1623520
O08582,GTPB1_MOUSE,GTP-binding protein 1 OS=Mus musculus OX=10090 ,Gtpbp1,,2083980,1592920,1710650,1946790,1755690,1768100,1529680,1417170,840399,1729850,1572650,2069160,1582640,1733770,764796,1860510,1312400
Q9ERL9,GCYA1_MOUSE,Guanylate cyclase soluble subunit alpha-1 OS=Mus musculus OX=10090 ,Gucy1a1,,511813,,,,565687,,467005,,,,571582,855170,755915,1197240,,605890,574985
O54865,GCYB1_MOUSE,Guanylate cyclase soluble subunit beta-1 OS=Mus musculus OX=10090 ,Gucy1b1,2036150,4196510,1479000,2058290,3161000,3137170,3447960,5381790,5559360,1859930,2082640,3515350,3148790,5541330,6535870,3746770,2238680,6322210
Q64520,KGUA_MOUSE,Guanylate kinase OS=Mus musculus OX=10090 ,Guk1,6724340,3491350,8848420,14674800,11436200,11841100,10888200,11205400,5509820,1671890,10688500,10506400,12278600,11144000,10703600,6212520,12360300,12348800
Q8K2A1,GULP1_MOUSE,PTB domain-containing engulfment adapter protein 1 OS=Mus musculus OX=10090 ,Gulp1,1739640,1860780,,2878070,1770360,3086300,2087540,3031270,1827150,765401,2921540,2208010,2650630,2464920,2722010,1733180,3346560,2760960
P12265,BGLR_MOUSE,Beta-glucuronidase OS=Mus musculus OX=10090 ,Gusb,,,,1119420,617245,,,1440610,,,1208330,1040790,1347110,753176,1544300,,1488720,842958
Q9R062,GLYG_MOUSE,Glycogenin-1 OS=Mus musculus OX=10090 ,Gyg1,16902800,16900900,15409400,16711500,16507100,15900400,34117300,30632800,18250700,20059800,16841100,12275600,15616700,17582300,15838800,19647200,13360400,16691700
Q8C635,Q8C635_MOUSE,glycerol kinase OS=Mus musculus OX=10090 ,Gykl1,2036200,2794810,,2256670,2210170,2021420,,1958630,1581230,,,2011520,,2058620,2066660,1460010,2201950,
Q78HU7,GLPC_MOUSE,Glycophorin-C OS=Mus musculus OX=10090 ,Gypc,,,10315800,23275100,24970200,21553100,16098600,21569500,,12956400,22170700,27178500,21219900,22274000,,31301000,26059800,25747500
Q9Z1E4,GYS1_MOUSE,"Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 ",Gys1,2212110,2474140,,2999260,4111880,2821460,30668700,29168200,4275140,4839400,3038290,2552520,2340260,3334180,3178050,2930720,3077800,2964210
P10922,H10_MOUSE,Histone H1.0 OS=Mus musculus OX=10090 ,H1-0,5417080,9403740,7609270,9085790,11162500,8776220,11618100,8339140,9995360,8058670,7611330,12653600,8820110,11656900,8618260,10699200,8274890,9700030
P43275,H11_MOUSE,Histone H1.1 OS=Mus musculus OX=10090 ,H1-1,2808350,2175540,2863070,2944620,2865440,2862290,5044720,2576000,2196120,2770250,2353040,2983450,3032600,3599640,2651580,3720890,3681220,3873340
P15864,H12_MOUSE,Histone H1.2 OS=Mus musculus OX=10090 ,H1-2,412063,298522,542585,742934,469947,,499386,388113,556680,585372,365342,451912,,658647,450447,566885,561254,1036330
P43277,H13_MOUSE,Histone H1.3 OS=Mus musculus OX=10090 ,H1-3,525716,403351,733374,306389,427252,404530,216198,310502,533264,663632,376996,422334,481728,484005,516493,586905,605708,335654
P43274,H14_MOUSE,Histone H1.4 OS=Mus musculus OX=10090 ,H1-4,442053000,392803000,539356000,476806000,460431000,300716000,399641000,479004000,346384000,498379000,442622000,437646000,476872000,476262000,465970000,533629000,517825000,467495000
P43276,H15_MOUSE,Histone H1.5 OS=Mus musculus OX=10090 ,H1-5,69247100,74659900,91852400,61207500,66028300,67274900,59871100,64534000,64156100,79459100,61662900,64772800,71423900,65594300,69241300,73534500,87847100,66154600
A0A991ENW0,A0A991ENW0_MOUSE,H1.10 linker histone OS=Mus musculus OX=10090 ,H1f10,1811340,1939960,1691110,767436,1986320,3233370,2375990,2431160,2039440,1896550,1594780,2709810,2809980,2767130,2603010,2140790,1949790,1981550
P01897,HA1L_MOUSE,"H-2 class I histocompatibility antigen, L-D alpha chain OS=Mus musculus OX=10090 ",H2-L,7871140,3665880,4833340,4245280,4669050,4271240,4206660,4310840,3213970,1969750,3733410,3744260,4389610,4513450,5524600,2137660,3182150,2661450
P01898,HA10_MOUSE,"H-2 class I histocompatibility antigen, Q10 alpha chain OS=Mus musculus OX=10090 ",H2-Q10,978867,1242960,782576,1105590,822055,801520,1150520,697726,2155190,1528470,506515,390181,802646,1410050,1385820,1796950,891084,455724
P68433,H31_MOUSE,Histone H3.1 OS=Mus musculus OX=10090 ,H3c11,3189810,1322580,28515300,644163,445770,99038,872167,501024,1718520,,1148270,791302,955882,641395,564773,,,766951
P84228,H32_MOUSE,Histone H3.2 OS=Mus musculus OX=10090 ,H3c15,83188500,37267700,65139600,2023350,30921600,45752000,66372000,8048050,87015800,58338100,4167090,40395300,8763680,47100900,3468680,70201800,,4235580
P62806,H4_MOUSE,Histone H4 OS=Mus musculus OX=10090 ,H4c16,1509870000,2313930000,1378000000,2044700000,2077380000,1982400000,1910830000,2060240000,2695500000,1393440000,2283620000,2554220000,2457480000,2424210000,2259980000,2520660000,2015000000,2291440000
Q8CFX1,G6PE_MOUSE,GDH/6PGL endoplasmic bifunctional protein OS=Mus musculus OX=10090 ,H6pd,1119410,2804380,1758710,2872760,2502790,2440740,2625960,2831450,3350430,1612570,2122210,2109630,2027230,2308710,2704410,2238050,2489240,2211320
Q9JKS5,HABP4_MOUSE,Intracellular hyaluronan-binding protein 4 OS=Mus musculus OX=10090 ,Habp4,,435265,,,390577,,,,532689,,438800,488467,404125,,,,514341,
Q8K2C9,HACD3_MOUSE,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Mus musculus OX=10090 ,Hacd3,17815700,13846600,16712500,16854700,15216000,15404500,15203300,16512100,7240480,17435000,16378100,15517500,17900400,17504600,16042800,7257120,16623600,16804300
Q3U0D9,HACE1_MOUSE,E3 ubiquitin-protein ligase HACE1 OS=Mus musculus OX=10090 ,Hace1,1348310,,,517103,334389,633597,425418,580066,475518,,821743,324480,690838,606370,734592,869634,1530890,719519
Q61425,HCDH_MOUSE,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Hadh,29888900,16997300,24760900,19321800,27063000,30749900,46183000,52135800,22993800,21281900,26758800,29744400,28005300,34414500,35363300,14760900,29514900,24864700
Q8BMS1,ECHA_MOUSE,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus OX=10090 ",Hadha,27472600,23354600,22701600,27612700,26611400,27411800,47385900,46940500,24514000,24885900,28610100,28196700,28833300,28808400,28329900,23929300,26532600,26173100
Q99JY0,ECHB_MOUSE,"Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus OX=10090 ",Hadhb,45255000,76219800,59782000,61050600,59506300,62209900,95572600,113028000,57169300,19221000,58315400,54459600,46688800,62626400,66746100,60012300,58217400,58494200
Q99KB8,GLO2_MOUSE,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Mus musculus OX=10090 ",Hagh,3700210,4196270,3908190,2099280,3092650,2847470,4390930,2842590,3690940,3685160,1730820,3137280,2107560,2986680,3105700,3204700,933260,2696030
Q9DB32,HAGHL_MOUSE,Hydroxyacylglutathione hydrolase-like protein OS=Mus musculus OX=10090 ,Haghl,3601490,3480160,3849350,4393580,5999730,3936610,7094020,2950720,3881970,5066420,2813420,6341460,2532330,4167110,1470080,3048810,954985,3195810
P35492,HUTH_MOUSE,Histidine ammonia-lyase OS=Mus musculus OX=10090 ,Hal,,,,,,,716018,902288,,,511669,1775730,1010810,1438560,1012190,786177,604929,
Q80T19,HEPC2_MOUSE,Hepcidin-2 OS=Mus musculus OX=10090 ,Hamp2,888768,,651451,,4318840,,,,,,,,,441464,,,,
Q9ESM3,HPLN2_MOUSE,Hyaluronan and proteoglycan link protein 2 OS=Mus musculus OX=10090 ,Hapln2,,,,577142,,353717,,92036,175180,,1274930,,763759,,3331610,568405,127431,
Q61035,HARS1_MOUSE,"Histidine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 ",Hars1,18805000,21832200,18738900,21296600,18592400,22873300,19192400,20676200,22660600,18982300,20400600,17282000,20585600,19637700,18455000,23081200,19686400,20323500
P01942,HBA_MOUSE,Hemoglobin subunit alpha OS=Mus musculus OX=10090 ,Hba,485768000,1077800000,257917000,755625000,1410510000,1577890000,2220770000,2673090000,2390390000,998805000,1072130000,1504940000,1263150000,815742000,897957000,3550970000,1253000000,738331000
P02089,HBB2_MOUSE,Hemoglobin subunit beta-2 OS=Mus musculus OX=10090 ,Hbb-b2,153455,111806,,,,,,,,2187950,,,,,,137407,,
A8DUK4,A8DUK4_MOUSE,Beta-globin OS=Mus musculus OX=10090 ,Hbb-bs,1028860000,1062140000,799923000,770290000,1351380000,1250210000,2103840000,2115520000,2102880000,2145170000,644468000,1278380000,1141400000,705700000,656282000,4634280000,1292060000,624909000
P02104,HBE_MOUSE,Hemoglobin subunit epsilon-Y2 OS=Mus musculus OX=10090 ,Hbb-y,,,,,4377500,5513680,,,,,,,,,,,,
Q69ZS7,HBS1L_MOUSE,HBS1-like protein OS=Mus musculus OX=10090 ,Hbs1l,1949020,2109810,2362960,2029610,1742070,2173290,2396110,2269600,1889480,2145310,2419470,1504830,2077990,1801360,2171930,2538310,1990890,2262070
P53702,CCHL_MOUSE,Holocytochrome c-type synthase OS=Mus musculus OX=10090 ,Hccs,1116460,1846830,1933600,1268800,1482740,,1800040,2218540,812836,2109600,1852900,1543360,1982720,1442920,,1264420,1369510,1893440
Q61191,HCFC1_MOUSE,Host cell factor 1 OS=Mus musculus OX=10090 ,Hcfc1,1927150,1575250,946283,1906580,1926480,1967010,1814190,1723350,1747280,1789040,1780340,1904070,1782240,2050880,2226610,1611010,2332990,1888300
P08103,HCK_MOUSE,Tyrosine-protein kinase HCK OS=Mus musculus OX=10090 ,Hck,,,,,,,2326150,,,,,,,,,,,
O70507,HCN4_MOUSE,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 OS=Mus musculus OX=10090 ,Hcn4,1080230,638157,1051200,,,521204,,566048,602137,766275,565228,650063,410598,566678,801302,1048910,651092,695280
Q91WA3,HDA11_MOUSE,Histone deacetylase 11 OS=Mus musculus OX=10090 ,Hdac11,,,,,,,,,,,1568490,,1583660,,,,,
P70288,HDAC2_MOUSE,Histone deacetylase 2 OS=Mus musculus OX=10090 ,Hdac2,,1695110,,2265140,3807260,3484190,3284240,3183810,,,3733770,3178520,4176720,4239290,2171290,,2383110,2427990
Q6NZM9,HDAC4_MOUSE,Histone deacetylase 4 OS=Mus musculus OX=10090 ,Hdac4,657865,601419,,776184,395101,504236,679284,,,410990,743265,544802,1073690,632312,491474,,468047,443523
Q9Z2V5,HDAC6_MOUSE,Histone deacetylase 6 OS=Mus musculus OX=10090 ,Hdac6,,1357790,,1161680,1205990,1460900,840024,1790060,,,2008110,993768,,644543,1198790,,1813000,1697800
Q3SXD3,HDDC2_MOUSE,5'-deoxynucleotidase HDDC2 OS=Mus musculus OX=10090 ,Hddc2,2205760,1832680,2037820,2488500,1374960,2040330,2308440,2386230,2169170,2346900,2174060,2014610,1443310,1819920,1945600,,1448910,1806170
P51859,HDGF_MOUSE,Hepatoma-derived growth factor OS=Mus musculus OX=10090 ,Hdgf,7014400,10557300,12422200,9981800,9354950,8468390,9865310,10955200,8386380,9897550,10766200,9483330,9684550,10803400,10666700,12502600,10615700,8698010
Q9JMG7,HDGR3_MOUSE,Hepatoma-derived growth factor-related protein 3 OS=Mus musculus OX=10090 ,Hdgfl3,336304,516905,469297,498995,503793,364660,231184,372820,775972,657524,523939,505920,494115,512634,348237,780007,523801,266680
Q3UGR5,HDHD2_MOUSE,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Mus musculus OX=10090 ,Hdhd2,33813700,22389700,25576300,32091500,36350500,33976300,44061100,32974000,27796100,25445300,37627600,38138100,30632900,37257500,30542300,20894800,30110800,34872800
Q9CYW4,HDHD3_MOUSE,Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Mus musculus OX=10090 ,Hdhd3,1212320,968115,857408,,1350840,1041180,,,,1240510,,1688010,1140860,979990,520867,,1141350,839647
Q8VDJ3,VIGLN_MOUSE,Vigilin OS=Mus musculus OX=10090 ,Hdlbp,10215000,11887500,10284500,10942000,9261720,9821950,10214000,9795440,12039000,10642800,10166600,10829700,9936460,9820490,10301200,10387800,11215500,10256400
Q9R257,HEBP1_MOUSE,Heme-binding protein 1 OS=Mus musculus OX=10090 ,Hebp1,2750370,,2034950,3476450,3335710,3116480,3049060,3051040,6094120,2430890,2116820,2629000,3296980,3069240,3843920,2325460,2776890,2883960
Q9WU63,HEBP2_MOUSE,Heme-binding protein 2 OS=Mus musculus OX=10090 ,Hebp2,13888400,8737170,15685500,13381800,12849700,14517300,11052400,19166900,11915900,13102700,13146200,11053500,11822400,14166500,10975000,15389100,11936700,12138200
Q3V1N5,Q3V1N5_MOUSE,"Hdc homolog, cell cycle regulator OS=Mus musculus OX=10090 ",Heca,,,,,,,,,,,,,,,235899,,561170,
Q69ZR2,HECD1_MOUSE,E3 ubiquitin-protein ligase HECTD1 OS=Mus musculus OX=10090 ,Hectd1,1542770,2074610,2309570,2131530,1878140,2377510,2345010,2877880,2103530,2491380,2397880,2276480,2080600,2564370,1721090,2424190,2171520,1878800
Q3U487,HECD3_MOUSE,E3 ubiquitin-protein ligase HECTD3 OS=Mus musculus OX=10090 ,Hectd3,3022520,2849230,2545070,2619030,3264610,2783470,2465250,2703900,2789660,3039770,3007910,2479300,2132450,2318510,2803830,2494960,2483940,2923120
E9Q2E4,E9Q2E4_MOUSE,HECT domain E3 ubiquitin protein ligase 4 OS=Mus musculus OX=10090 ,Hectd4,2235890,2535940,2307990,1915010,2596540,2155770,965786,2042760,2092630,2063140,2480190,2117330,2111390,1907060,1820250,2405600,2286930,2261090
Q8K4P8,HECW1_MOUSE,E3 ubiquitin-protein ligase HECW1 OS=Mus musculus OX=10090 ,Hecw1,,769515,,,789543,,299832,978538,,,1152750,591466,1056410,730914,,665076,,900341
Q6I6G8,HECW2_MOUSE,E3 ubiquitin-protein ligase HECW2 OS=Mus musculus OX=10090 ,Hecw2,,,377153,,409102,,261374,319541,,549061,415647,436936,338675,412887,391441,,378000,296077
Q640R3,HECAM_MOUSE,Hepatic and glial cell adhesion molecule OS=Mus musculus OX=10090 ,Hepacam,4996930,6562420,5591750,4574720,7051520,5203860,5450150,6423440,6029230,5531520,5162950,5359160,5139400,6470190,5754530,6459990,4233880,5550270
Q6PAV2,HERC4_MOUSE,Probable E3 ubiquitin-protein ligase HERC4 OS=Mus musculus OX=10090 ,Herc4,2739180,2954710,3995260,2939630,3128130,2732720,4811580,2981470,2906660,2495600,3791930,4710700,6717310,6226550,3407700,2878000,2593880,2604400
P29416,HEXA_MOUSE,Beta-hexosaminidase subunit alpha OS=Mus musculus OX=10090 ,Hexa,,4672380,,4582000,4137670,5132200,4935240,5422670,3921030,,5488900,5179840,4751930,5265280,5220380,2790190,5959820,4189720
P20060,HEXB_MOUSE,Beta-hexosaminidase subunit beta OS=Mus musculus OX=10090 ,Hexb,4348740,3868870,4505590,5332650,4513900,3979230,6714360,5980970,4065740,5140300,4785420,4832980,4540300,5719020,5074010,4153900,6439460,3650190
Q9R098,HGFA_MOUSE,Hepatocyte growth factor activator OS=Mus musculus OX=10090 ,Hgfac,1047350,998237,1520480,893250,725244,654656,658624,574796,717116,792121,760339,554619,535474,1046970,834032,728799,580186,564653
Q8C3I8,HGH1_MOUSE,Protein HGH1 homolog OS=Mus musculus OX=10090 ,Hgh1,,78060,,100803,,87778,,,57244,,,,,,72301,,,
Q99LI8,HGS_MOUSE,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Mus musculus OX=10090 ,Hgs,3306620,3191680,3328360,4292140,3212890,4477200,3691120,3542990,4200600,3094420,4707320,3759970,4018370,3487070,3570840,3982870,3927020,3940700
Q3UDW8,HGNAT_MOUSE,Heparan-alpha-glucosaminide N-acetyltransferase OS=Mus musculus OX=10090 ,Hgsnat,1903410,,2130780,,,,,,1349590,1848270,,1875480,,1930880,,989085,,
Q9D1G3,HHATL_MOUSE,Protein-cysteine N-palmitoyltransferase HHAT-like protein OS=Mus musculus OX=10090 ,Hhatl,341352,615565,,957275,325562,369586,6994750,7071810,783170,,356214,282512,413626,,,848817,,565570
Q99L13,3HIDH_MOUSE,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Hibadh,6190100,4722220,6915840,6983110,5939690,6313500,9240430,9438330,6619950,6255990,5267070,6565450,5942740,6905690,6266590,5491600,6428000,6253940
Q8QZS1,HIBCH_MOUSE,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Mus musculus OX=10090 ",Hibch,23429300,14021700,22302500,17764300,14903100,15628500,25784400,26253100,16032000,15886000,15721500,16053700,18006100,20001400,20201300,13200900,19618400,15776700
Q8R1F6,HID1_MOUSE,Protein HID1 OS=Mus musculus OX=10090 ,Hid1,2569310,2343620,2421330,2479500,1663190,2612030,2238360,2217830,1350270,2551320,2687410,2471010,2255900,2682950,2312290,1433220,2656330,2607850
Q9DD02,HIKES_MOUSE,Protein Hikeshi OS=Mus musculus OX=10090 ,Hikeshi,1710260,1867700,1635020,1814340,1227210,1170350,2187930,,1201320,1999130,1490740,1051660,1056900,960957,1367990,1598860,1318690,1672570
P70349,HINT1_MOUSE,Adenosine 5'-monophosphoramidase HINT1 OS=Mus musculus OX=10090 ,Hint1,233240000,211331000,224561000,233808000,234929000,238134000,211197000,224055000,245701000,237236000,220932000,193145000,209702000,180110000,215172000,313013000,232636000,209320000
Q9D0S9,HINT2_MOUSE,Adenosine 5'-monophosphoramidase HINT2 OS=Mus musculus OX=10090 ,Hint2,6200640,5307750,5767340,8460000,6982520,7912170,9601620,8383220,7382610,6648150,7249990,7531180,6954080,9037660,8083380,6711810,8801140,6733610
Q9CPS6,HINT3_MOUSE,Adenosine 5'-monophosphoramidase HINT3 OS=Mus musculus OX=10090 ,Hint3,18656300,19942500,16742500,20857200,19991800,21533800,16075900,18118000,18045900,17403700,19683400,18730100,12508200,16639300,18944000,22296700,20721300,18342700
Q8VD75,HIP1_MOUSE,Huntingtin-interacting protein 1 OS=Mus musculus OX=10090 ,Hip1,4155560,2908330,4468660,2621660,3863680,2485710,5861910,3535260,2931570,6474510,4812670,3737040,3112720,3930770,3790520,3678740,4003340,5703900
Q9JKY5,HIP1R_MOUSE,Huntingtin-interacting protein 1-related protein OS=Mus musculus OX=10090 ,Hip1r,1469810,2234180,,1875810,2091690,2414470,2243430,2484020,1882580,1426030,2340820,2502450,2530370,2440420,2330500,1933880,1943860,2433660
P17710,HXK1_MOUSE,Hexokinase-1 OS=Mus musculus OX=10090 ,Hk1,30935300,36730900,28928600,34360600,38335500,38988700,36181600,35812200,33533400,25539100,39009700,39879700,39261500,36199500,34815100,34455700,33686200,42378300
O08528,HXK2_MOUSE,Hexokinase-2 OS=Mus musculus OX=10090 ,Hk2,1661950,1351830,3823330,1307980,1098410,,9715670,9924360,2548680,2314270,1017470,,1661500,1776790,2087340,1287740,,
Q920N2,BPL1_MOUSE,Biotin--protein ligase OS=Mus musculus OX=10090 ,Hlcs,1611630,1708300,528448,1347970,1027840,1367440,1508460,1067590,1217310,1049440,1399540,1006930,1128020,1284360,1546980,940212,1096320,1467460
Q9D8V0,HM13_MOUSE,Minor histocompatibility antigen H13 OS=Mus musculus OX=10090 ,Hm13,7300830,5386900,,6005130,4918260,5548830,4927470,5852650,4828020,,4778460,5069820,5500430,4451210,6308800,2628450,7062600,5509340
P22907,HEM3_MOUSE,Porphobilinogen deaminase OS=Mus musculus OX=10090 ,Hmbs,4682680,3302900,,1775230,2544910,3626500,3298180,3877460,4420710,,2903840,1060950,2301780,4332650,3164740,3962470,,2593650
P17095,HMGA1_MOUSE,High mobility group protein HMG-I/HMG-Y OS=Mus musculus OX=10090 ,Hmga1,1462600,2631840,1098740,2949780,,3018980,857532,2463420,1253190,2946820,3294950,2462690,2558890,,,2792580,3741130,815699
P63158,HMGB1_MOUSE,High mobility group protein B1 OS=Mus musculus OX=10090 ,Hmgb1,7176270,11822200,3614610,15853700,19479200,20583000,16819700,18450000,16114000,5885550,17202200,16931500,18578500,21578200,17905900,14796800,18721700,15875500
