Significant,-log10(p-value),Difference,Gene Name,Number Of Imputations,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
,0.589237564,-0.519981691,Sp1,4,-2.567990303,-2.315803528,-2.563812256,-2.765195847,-2.30389595,-2.41711235,-4.252597809,-3.079766273,-4.005759716,-2.172805786,-3.280337334,-3.435741901,-2.713464737,-1.711079597,-2.567765236,-2.655561447,-2.491724968,-2.885742188
,0.857854945,2.028543336,Sp100,9,-2.619588375,-2.530347109,-4.387051582,-3.333715677,0.794494629,0.442274094,-4.587570667,0.12239933,-0.257358551,-4.627345085,-0.210820198,-4.49689436,0.193647385,-3.787789345,0.001410484,-0.077051163,-3.114077568,-0.510295868
,0.80760179,-0.335582154,Spag7,0,-1.721755028,-1.650814056,-2.147699356,-1.944963455,-2.693475723,-2.617204666,-2.096105576,-1.856423378,-1.599357605,-2.318458557,-2.232205391,-2.484318733,-2.151376724,-1.878642082,-2.070755959,-1.927453995,-1.95177269,-2.307125092
,0.269964091,0.060783693,Spag9,0,-0.6928339,-0.214677811,-0.607944489,-0.41368866,-0.445146561,-0.23516655,-0.463479996,-0.535199165,-0.368293762,-0.366451263,-0.536780357,-0.586754799,-0.480531693,-0.247197151,-0.211342812,0.268247604,-0.456272125,-0.24079895
,0.136927393,0.054626226,Sparc,0,0.938441277,0.895832062,1.094449997,0.788829803,0.79911232,0.793748856,0.908054352,0.63162899,1.385316849,1.33839798,1.031842232,0.680245399,0.84679985,0.765721321,0.59987545,1.323032379,1.01035881,1.069379807
,0.161268431,-0.070514304,Sparcl1,0,-0.606726646,-0.610185623,-0.731573105,-0.890516281,-1.141265869,-0.632089615,-0.870082855,-0.678774834,-0.181480408,-1.04382515,-0.914334297,-0.87193203,-0.735790253,-0.467530251,-0.520791054,-0.186719894,-1.349071503,-0.512989044
,0.054724301,0.276778528,Spart,0,-0.205664635,0,-0.19811821,5.482248306,0.110357285,5.201627731,6.361803055,-0.384415627,0.024801254,-0.239868164,-0.249541283,0.206641197,5.452972412,0.032464027,0.160235405,-0.178945541,0.073284149,-0.050226212
,0.370417669,-0.170437234,Spast,0,-1.270710945,-0.985132217,-1.324819565,-1.363523483,-1.583780289,-1.396127701,-2.107400894,-1.297053337,-1.461513519,-0.976221085,-1.02328968,-1.761466026,-1.530181885,-0.476923943,-1.442099571,-1.847621918,-1.251306534,-1.368728638
,0.688942016,0.508853572,Spata13,2,-4.00609684,-2.728618622,-2.780389786,-3.267120361,-1.751073837,-2.235946655,-3.277816772,-3.292645693,-2.887367249,-3.058187962,-2.303881645,-2.69114399,-2.49738121,-2.225066185,-2.930504799,-2.312995911,-3.508209229,-2.325744629
,0.124523964,-0.062926667,Spcs2,0,-0.243945122,0.475904465,0.032966614,-0.154390335,-0.520227432,0.154920578,-0.271514893,-0.150328636,0.310499191,-0.012605667,0.242207527,0.228796959,0.210702896,0.020962715,0.068106651,0.377588272,-0.277851105,0.048238754
,0.110919636,0.346428105,Spcs3,3,-2.755662441,0.121606827,-2.569705009,0.362575531,-0.257888794,-0.09752655,-0.293182373,0.03031826,0.048744202,-5.302209854,-0.175332069,-0.305504799,-0.053621292,-0.213360786,0.010807991,0.159885406,0.054452896,-0.075454712
,0.276865033,-0.256113768,Specc1,2,-1.659398079,-1.852073669,-3.256783485,-1.608335495,-3.431591272,-1.888778687,-2.163267136,-2.093441963,-2.015317917,-2.595674515,-2.263758659,-1.576239586,-1.700222015,-1.594344139,-1.467360497,-2.168848038,-2.187192917,-1.404672623
,0.122684028,0.311768583,Sphk2,5,-3.614172697,-1.852338791,-2.695338964,-0.980234146,-1.062213898,-0.773008347,-1.197977066,-1.018733025,-4.81050396,-4.081329346,-0.872502327,-1.161675453,-0.701845169,-0.9662714,-0.825318336,-4.144008636,-0.876264572,-0.824045181
,0.237134842,0.264423737,Spin1,3,-2.011158943,-2.365274429,-3.859879732,-3.334527016,-2.702716827,-2.034486771,-4.002805233,-2.649060249,-2.607393265,-2.344957352,-2.056584358,-2.518227577,-3.102607727,-1.459811211,-2.891852379,-2.352424622,-2.627428055,-2.758033752
,0.657039303,0.40284012,Spire2,6,-4.76862812,-3.772834539,-2.995155096,-3.72121048,-3.125797272,-3.192035675,-3.461647034,-3.251734734,-3.480973721,-4.029790878,-3.339339256,-2.557431221,-3.260093689,-3.437657356,-3.240344048,-2.682552576,-3.00274086,-2.94389534
,0.197722268,0.290603612,Spock1,7,-3.639068127,-3.387609959,-3.391347647,-3.064571381,-2.417362213,-2.325710297,-2.865499496,-2.444148064,-5.427017689,-3.690449953,-2.39013195,-2.577641487,-3.003593445,-2.391366005,-2.448981285,-4.100558758,-3.882644176,-2.282730103
,0.078035785,-0.102618124,Spon1,8,-3.369998217,-3.887220383,-5.542015076,-3.468133926,-4.244989872,-4.889509201,-4.903106689,-3.589702368,-4.39440155,-3.369213104,-3.795297384,-3.516558886,-5.10777092,-4.287684441,-3.831965446,-3.629797935,-5.213077545,-4.97224617
,0.015444093,-0.005892447,Spr,0,1.427138329,1.490978241,1.582715988,1.724689484,1.666547775,1.484079361,2.038042068,1.484438896,1.455648422,1.327308655,1.397351265,1.519888878,1.273340225,1.645604134,1.264937401,1.51571846,1.421806335,1.927455902
,0.389093466,0.615040047,Sprr1a,1,-2.097670555,-0.661119461,-4.410330296,-1.06139946,-1.804367065,-2.182693481,-2.213323593,-1.582468987,-0.561483383,-0.471506119,-1.282286644,-1.742365837,-1.783584595,-1.563828468,-1.633872032,0.352367401,-0.505817413,-0.337394714
,0.118941216,0.090093306,Spryd4,0,-0.967394829,-1.658937454,-0.989889145,-1.261388779,-1.174188614,-1.335926056,-0.518623352,-0.359705925,-1.630132675,-1.680833817,-1.20575428,-1.273381233,-1.611196518,-1.579621315,-1.063309669,-1.192272186,-1.711420059,-2.149580002
,0.043283338,-0.075817517,Spryd7,3,-1.768685341,-1.976675034,-2.717464447,-2.751092911,-1.675691605,-1.676927567,-1.764162064,-2.180783272,-1.736051559,-4.831320763,-2.790141821,-1.578339577,-2.410969734,-1.696444511,-2.421690941,-2.154563904,-2.115726471,-1.821346283
,0.335148886,0.171387843,Sptan1,0,5.69366169,6.004545212,5.421621323,6.002212524,6.335294724,6.260541916,5.83303833,5.892781258,5.817605972,5.234989166,6.289034843,6.31182003,6.324895859,6.200539589,6.160647392,5.766370773,6.099487305,6.284788132
